filename,preds
melspec_2406.npy,['Dishes' 'Frying' 'Speech']
melspec_2254.npy,['Speech' 'Vacuum_cleaner']
melspec_1817.npy,['Speech' 'Vacuum_cleaner']
melspec_1179.npy,['Dishes' 'Frying' 'Speech']
melspec_284.npy,['Running_water' 'Speech']
melspec_119.npy,['Alarm_bell_ringing' 'Speech']
melspec_1496.npy,['Running_water' 'Speech']
melspec_295.npy,['Dishes' 'Speech']
melspec_1635.npy,['Alarm_bell_ringing' 'Speech']
melspec_1534.npy,['Cat' 'Speech']
melspec_1164.npy,['Dishes' 'Frying' 'Speech']
melspec_1053.npy,['Alarm_bell_ringing' 'Speech']
melspec_1643.npy,['Dishes' 'Frying' 'Speech']
melspec_233.npy,['Dog' 'Speech']
melspec_2345.npy,['Blender' 'Speech']
melspec_1303.npy,['Blender' 'Speech']
melspec_1827.npy,['Alarm_bell_ringing' 'Speech']
melspec_1367.npy,['Speech']
melspec_1449.npy,['Alarm_bell_ringing' 'Dog' 'Speech']
melspec_2070.npy,['Dishes' 'Frying' 'Speech']
melspec_1556.npy,['Speech']
melspec_404.npy,['Dishes' 'Frying' 'Speech']
melspec_2164.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1835.npy,['Dishes' 'Frying' 'Speech']
melspec_1829.npy,['Running_water' 'Speech']
melspec_770.npy,['Speech' 'Vacuum_cleaner']
melspec_141.npy,['Dog' 'Speech']
melspec_623.npy,['Blender' 'Speech' 'Vacuum_cleaner']
melspec_1061.npy,['Speech']
melspec_2002.npy,['Alarm_bell_ringing' 'Speech']
melspec_1415.npy,['Dog' 'Speech']
melspec_1077.npy,['Dog' 'Speech']
melspec_57.npy,['Alarm_bell_ringing' 'Speech']
melspec_1165.npy,['Speech' 'Vacuum_cleaner']
melspec_2279.npy,['Cat' 'Speech']
melspec_1742.npy,['Dog' 'Speech']
melspec_443.npy,['Alarm_bell_ringing' 'Speech']
melspec_916.npy,['Speech']
melspec_1286.npy,['Dishes' 'Frying' 'Speech']
melspec_885.npy,['Running_water' 'Speech']
melspec_2483.npy,['Speech' 'Vacuum_cleaner']
melspec_2264.npy,['Alarm_bell_ringing' 'Speech']
melspec_2063.npy,['Speech']
melspec_319.npy,['Speech']
melspec_1822.npy,['Speech' 'Vacuum_cleaner']
melspec_1924.npy,['Speech' 'Vacuum_cleaner']
melspec_1339.npy,['Dog' 'Speech']
melspec_1855.npy,['Cat' 'Speech']
melspec_71.npy,['Blender' 'Speech']
melspec_754.npy,['Speech']
melspec_833.npy,['Speech' 'Vacuum_cleaner']
melspec_2477.npy,['Speech' 'Vacuum_cleaner']
melspec_726.npy,['Speech']
melspec_507.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_544.npy,['Blender' 'Speech']
melspec_1083.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2197.npy,['Speech' 'Vacuum_cleaner']
melspec_366.npy,['Blender' 'Speech']
melspec_933.npy,['Dishes' 'Speech']
melspec_1144.npy,['Running_water' 'Speech']
melspec_290.npy,['Speech']
melspec_1784.npy,['Alarm_bell_ringing' 'Speech']
melspec_336.npy,['Blender' 'Speech']
melspec_1494.npy,['Running_water' 'Speech']
melspec_2313.npy,['Running_water' 'Speech']
melspec_430.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_771.npy,['Speech']
melspec_1562.npy,['Alarm_bell_ringing' 'Speech']
melspec_5.npy,['Speech']
melspec_1537.npy,['Cat' 'Speech']
melspec_737.npy,['Electric_shaver_toothbrush' 'Running_water' 'Speech']
melspec_1222.npy,['Cat' 'Speech']
melspec_1624.npy,['Speech' 'Vacuum_cleaner']
melspec_109.npy,['Dishes' 'Frying' 'Speech']
melspec_764.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1280.npy,['Blender' 'Speech']
melspec_2179.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_866.npy,['Blender' 'Speech']
melspec_1338.npy,['Dishes' 'Running_water' 'Speech']
melspec_1429.npy,['Speech']
melspec_543.npy,['Running_water' 'Speech']
melspec_2385.npy,['Speech' 'Vacuum_cleaner']
melspec_655.npy,['Dishes' 'Frying' 'Speech']
melspec_1464.npy,['Dog' 'Speech']
melspec_2296.npy,['Dishes' 'Dog' 'Speech']
melspec_1254.npy,['Speech' 'Vacuum_cleaner']
melspec_1591.npy,['Speech' 'Vacuum_cleaner']
melspec_1516.npy,['Alarm_bell_ringing' 'Dog' 'Speech']
melspec_1329.npy,['Alarm_bell_ringing' 'Speech']
melspec_2245.npy,['Speech']
melspec_682.npy,['Alarm_bell_ringing' 'Speech']
melspec_1228.npy,['Running_water' 'Speech']
melspec_579.npy,['Speech']
melspec_2445.npy,['Dog' 'Speech']
melspec_1877.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2381.npy,['Dishes' 'Frying']
melspec_2334.npy,['Speech']
melspec_823.npy,['Speech' 'Vacuum_cleaner']
melspec_1771.npy,['Alarm_bell_ringing' 'Speech']
melspec_81.npy,['Dog' 'Speech']
melspec_152.npy,['Speech' 'Vacuum_cleaner']
melspec_760.npy,['Speech']
melspec_1402.npy,['Speech']
melspec_2420.npy,['Speech']
melspec_427.npy,['Dishes' 'Frying' 'Speech']
melspec_1856.npy,['Speech']
melspec_1048.npy,['Blender' 'Speech']
melspec_1535.npy,['Running_water' 'Speech']
melspec_747.npy,['Blender' 'Speech']
melspec_288.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_558.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2327.npy,['Dishes' 'Speech']
melspec_616.npy,['Speech' 'Vacuum_cleaner']
melspec_29.npy,['Speech']
melspec_783.npy,['Alarm_bell_ringing' 'Running_water' 'Speech']
melspec_2224.npy,['Running_water' 'Speech']
melspec_1204.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_674.npy,['Speech']
melspec_2453.npy,['Speech' 'Vacuum_cleaner']
melspec_855.npy,['Running_water' 'Speech']
melspec_797.npy,['Dishes' 'Frying' 'Speech']
melspec_1345.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1020.npy,['Dog' 'Speech']
melspec_348.npy,['Running_water' 'Speech']
melspec_1550.npy,['Speech' 'Vacuum_cleaner']
melspec_921.npy,['Running_water' 'Speech']
melspec_2338.npy,['Dishes' 'Frying' 'Speech']
melspec_817.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1567.npy,['Running_water' 'Speech' 'Vacuum_cleaner']
melspec_2271.npy,['Alarm_bell_ringing' 'Speech']
melspec_158.npy,['Running_water' 'Speech']
melspec_2342.npy,['Speech']
melspec_265.npy,['Blender' 'Speech']
melspec_1377.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2363.npy,['Speech']
melspec_2054.npy,['Alarm_bell_ringing' 'Speech']
melspec_317.npy,['Speech']
melspec_1586.npy,['Blender' 'Speech']
melspec_1232.npy,['Blender' 'Speech']
melspec_898.npy,['Dog' 'Speech']
melspec_1307.npy,['Dog' 'Speech']
melspec_2291.npy,['Blender' 'Speech']
melspec_1135.npy,['Speech']
melspec_133.npy,['Speech']
melspec_64.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1914.npy,['Speech']
melspec_2227.npy,['Dog' 'Speech']
melspec_1798.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2302.npy,['Speech' 'Vacuum_cleaner']
melspec_561.npy,['Alarm_bell_ringing' 'Speech']
melspec_2076.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_170.npy,['Dog' 'Speech']
melspec_899.npy,['Running_water' 'Speech']
melspec_174.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_891.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2450.npy,['Cat' 'Speech']
melspec_2403.npy,['Speech']
melspec_2400.npy,['Dog' 'Speech']
melspec_1604.npy,['Cat' 'Speech']
melspec_2150.npy,['Speech' 'Vacuum_cleaner']
melspec_428.npy,['Speech' 'Vacuum_cleaner']
melspec_1542.npy,['Running_water' 'Speech']
melspec_739.npy,['Running_water' 'Speech']
melspec_758.npy,['Blender' 'Electric_shaver_toothbrush' 'Speech']
melspec_2058.npy,['Alarm_bell_ringing' 'Speech']
melspec_489.npy,['Running_water' 'Speech']
melspec_235.npy,['Running_water' 'Speech']
melspec_536.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2042.npy,['Dishes' 'Frying' 'Speech']
melspec_1021.npy,['Speech']
melspec_979.npy,['Alarm_bell_ringing' 'Speech']
melspec_58.npy,['Speech']
melspec_276.npy,['Dishes' 'Speech']
melspec_1804.npy,['Running_water' 'Speech']
melspec_1203.npy,['Speech']
melspec_1073.npy,['Dishes' 'Frying' 'Speech']
melspec_2017.npy,['Speech' 'Vacuum_cleaner']
melspec_951.npy,['Dishes' 'Frying' 'Speech']
melspec_803.npy,['Speech']
melspec_1853.npy,['Alarm_bell_ringing' 'Speech']
melspec_901.npy,['Speech' 'Vacuum_cleaner']
melspec_2176.npy,['Dishes' 'Frying' 'Speech']
melspec_1928.npy,['Dishes' 'Speech']
melspec_1101.npy,['Dishes' 'Frying' 'Speech']
melspec_1972.npy,['Cat' 'Speech']
melspec_494.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_226.npy,['Dog' 'Speech']
melspec_2136.npy,['Speech']
melspec_569.npy,['Blender' 'Speech']
melspec_2065.npy,['Dishes' 'Speech']
melspec_2034.npy,['Dog' 'Speech']
melspec_1533.npy,['Speech']
melspec_1080.npy,['Speech' 'Vacuum_cleaner']
melspec_1706.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_678.npy,['Running_water' 'Speech']
melspec_688.npy,['Dishes' 'Speech']
melspec_1978.npy,['Speech']
melspec_182.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_745.npy,['Running_water' 'Speech']
melspec_1636.npy,['Blender' 'Speech']
melspec_2440.npy,['Alarm_bell_ringing' 'Speech']
melspec_2219.npy,['Dishes' 'Frying' 'Speech']
melspec_1019.npy,['Speech']
melspec_2169.npy,['Speech']
melspec_2019.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1393.npy,['Speech']
melspec_1806.npy,['Blender' 'Dishes' 'Speech']
melspec_1592.npy,['Speech' 'Vacuum_cleaner']
melspec_96.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_2167.npy,['Cat' 'Speech']
melspec_1911.npy,['Dishes' 'Frying' 'Speech']
melspec_707.npy,['Dishes' 'Frying' 'Speech']
melspec_1257.npy,['Dog' 'Speech']
melspec_1489.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_949.npy,['Speech']
melspec_2457.npy,['Dog' 'Speech']
melspec_805.npy,['Dog' 'Speech']
melspec_1433.npy,['Speech']
melspec_2283.npy,['Speech' 'Vacuum_cleaner']
melspec_1996.npy,['Speech']
melspec_1064.npy,['Dishes' 'Frying' 'Speech']
melspec_2489.npy,['Dog' 'Speech']
melspec_1618.npy,['Speech']
melspec_210.npy,['Running_water' 'Speech']
melspec_644.npy,['Alarm_bell_ringing' 'Speech']
melspec_685.npy,['Speech']
melspec_774.npy,['Speech']
melspec_43.npy,['Dishes' 'Running_water' 'Speech']
melspec_1780.npy,['Dog' 'Speech']
melspec_486.npy,['Speech']
melspec_2275.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_791.npy,['Running_water' 'Speech']
melspec_1353.npy,['Dishes' 'Speech']
melspec_617.npy,['Speech' 'Vacuum_cleaner']
melspec_1005.npy,['Cat' 'Speech']
melspec_1333.npy,['Dog' 'Speech']
melspec_2451.npy,['Speech' 'Vacuum_cleaner']
melspec_787.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1356.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1778.npy,['Running_water' 'Speech']
melspec_1610.npy,['Speech']
melspec_1488.npy,['Speech']
melspec_1434.npy,['Running_water' 'Speech']
melspec_431.npy,['Dog' 'Speech']
melspec_1553.npy,['Alarm_bell_ringing' 'Speech']
melspec_502.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1743.npy,['Blender' 'Speech' 'Vacuum_cleaner']
melspec_1565.npy,['Dog' 'Speech']
melspec_2232.npy,['Dishes' 'Frying' 'Speech']
melspec_1720.npy,['Speech']
melspec_2474.npy,['Dishes' 'Frying' 'Speech']
melspec_1092.npy,['Speech' 'Vacuum_cleaner']
melspec_1527.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_980.npy,['Alarm_bell_ringing' 'Speech']
melspec_1770.npy,['Speech']
melspec_107.npy,['Dishes' 'Frying' 'Speech']
melspec_1218.npy,['Speech']
melspec_1521.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1045.npy,['Speech' 'Vacuum_cleaner']
melspec_2427.npy,['Blender' 'Speech']
melspec_622.npy,['Speech']
melspec_1000.npy,['Running_water' 'Speech']
melspec_162.npy,['Dog' 'Speech']
melspec_2239.npy,['Speech']
melspec_1814.npy,['Dishes' 'Speech']
melspec_2146.npy,['Blender']
melspec_364.npy,['Alarm_bell_ringing' 'Speech']
melspec_20.npy,['Dishes' 'Frying' 'Speech']
melspec_189.npy,['Alarm_bell_ringing' 'Speech']
melspec_1335.npy,['Speech']
melspec_2324.npy,['Speech']
melspec_858.npy,['Cat' 'Speech']
melspec_2212.npy,['Running_water' 'Speech']
melspec_636.npy,['Alarm_bell_ringing' 'Speech']
melspec_278.npy,['Dishes' 'Frying' 'Speech']
melspec_565.npy,['Blender' 'Speech']
melspec_2263.npy,['Dishes' 'Frying' 'Speech']
melspec_2096.npy,['Speech']
melspec_198.npy,['Dishes' 'Frying']
melspec_1664.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_400.npy,['Running_water' 'Speech']
melspec_1980.npy,['Running_water' 'Speech']
melspec_1582.npy,['Alarm_bell_ringing' 'Speech']
melspec_664.npy,['Alarm_bell_ringing' 'Speech']
melspec_1616.npy,['Electric_shaver_toothbrush' 'Speech']
melspec_1902.npy,['Alarm_bell_ringing' 'Speech']
melspec_1074.npy,['Dishes' 'Frying' 'Speech']
melspec_1976.npy,['Dog' 'Speech']
melspec_87.npy,['Running_water' 'Speech']
melspec_2040.npy,['Speech' 'Vacuum_cleaner']
